susceptible,infected,removed,time
1000,1,0,0
999.9,1.08999,0.0108999,1
999.791,1.18807,0.0227806,2
999.672,1.29495,0.0357301,3
999.543,1.41144,0.0498445,4
999.402,1.53839,0.0652283,5
999.248,1.67672,0.0819956,6
999.08,1.82748,0.10027,7
998.898,1.99175,0.120188,8
998.699,2.17074,0.141895,9
998.482,2.36578,0.165553,10
998.246,2.57829,0.191336,11
997.988,2.80981,0.219434,12
997.708,3.06205,0.250055,13
997.403,3.33684,0.283423,14
997.07,3.63618,0.319785,15
996.707,3.96224,0.359407,16
996.312,4.31738,0.402581,17
995.882,4.70417,0.449623,18
995.414,5.12538,0.500877,19
994.903,5.58406,0.556717,20
994.348,6.08347,0.617552,21
993.743,6.62717,0.683824,22
993.084,7.21903,0.756014,23
992.368,7.86324,0.834646,24
991.587,8.56431,0.920289,25
990.738,9.32717,1.01356,26
989.814,10.1571,1.11513,27
988.809,11.0599,1.22573,28
987.715,12.0417,1.34615,29
986.526,13.1092,1.47724,30
985.232,14.2697,1.61994,31
983.826,15.5309,1.77525,32
982.298,16.9012,1.94426,33
980.638,18.3895,2.12815,34
978.835,20.0057,2.32821,35
976.877,21.7599,2.54581,36
974.751,23.6634,2.78244,37
972.444,25.7279,3.03972,38
969.942,27.9661,3.31938,39
967.23,30.3914,3.6233,40
964.29,33.0181,3.95348,41
961.106,35.8613,4.31209,42
957.66,38.9369,4.70146,43
953.931,42.2619,5.12408,44
949.9,45.8537,5.58262,45
945.544,49.7309,6.07992,46
940.842,53.9124,6.61905,47
935.769,58.4183,7.20323,48
930.303,63.2688,7.83592,49
924.417,68.4847,8.52077,50
918.086,74.0874,9.26164,51
911.284,80.098,10.0626,52
903.985,86.5377,10.928,53
896.162,93.4275,11.8623,54
887.789,100.788,12.8701,55
878.842,108.637,13.9565,56
869.294,116.995,15.1265,57
859.124,125.876,16.3852,58
848.309,135.296,17.7382,59
836.832,145.265,19.1908,60
824.676,155.792,20.7488,61
811.828,166.881,22.4176,62
798.28,178.534,24.2029,63
784.028,190.747,26.1104,64
769.073,203.509,28.1455,65
753.422,216.807,30.3135,66
737.087,230.619,32.6197,67
720.089,244.92,35.0689,68
702.452,259.675,37.6657,69
684.211,274.845,40.4141,70
665.406,290.385,43.318,71
646.084,306.243,46.3804,72
626.298,322.36,49.604,73
606.108,338.675,52.9907,74
585.581,355.12,56.5419,75
564.786,371.626,60.2582,76
543.797,388.119,64.1394,77
522.691,404.524,68.1846,78
501.547,420.768,72.3923,79
480.444,436.775,76.7601,80
459.459,452.476,81.2848,81
438.67,467.8,85.9628,82
418.149,482.683,90.7896,83
397.965,497.065,95.7603,84
378.184,510.892,100.869,85
358.863,524.118,106.11,86
340.054,536.699,111.477,87
321.803,548.603,116.963,88
304.149,559.803,122.561,89
287.123,570.278,128.264,90
270.749,580.016,134.064,91
255.045,589.009,139.954,92
240.023,597.256,145.927,93
225.687,604.763,151.975,94
212.038,611.538,158.09,95
199.071,617.597,164.266,96
186.777,622.956,170.496,97
175.141,627.637,176.772,98
164.149,631.664,183.089,99
153.78,635.061,189.439,100
144.014,637.856,195.818,101
134.828,640.077,202.219,102
126.198,641.754,208.636,103
118.099,642.916,215.065,104
110.507,643.591,221.501,105
103.394,643.81,227.939,106
96.7378,643.6,234.375,107
90.5118,642.989,240.805,108
84.692,642.005,247.225,109
79.2547,640.673,253.632,110
74.1771,639.018,260.022,111
69.437,637.065,266.393,112
65.0134,634.837,272.741,113
60.8861,632.354,279.065,114
57.036,629.637,285.361,115
53.4448,626.705,291.628,116
50.0954,623.578,297.864,117
46.9715,620.271,304.067,118
44.058,616.801,310.235,119
41.3405,613.183,316.366,120
38.8056,609.431,322.461,121
36.4407,605.557,328.516,122
34.234,601.575,334.532,123
32.1745,597.494,340.507,124
30.2521,593.327,346.44,125
28.4572,589.082,352.331,126
26.7808,584.769,358.179,127
25.2148,580.396,363.983,128
23.7513,575.97,369.742,129
22.3833,571.5,375.457,130
21.1041,566.991,381.127,131
19.9075,562.45,386.752,132
18.7878,557.882,392.331,133
17.7397,553.293,397.864,134
16.7582,548.687,403.35,135
15.8387,544.069,408.791,136
14.9769,539.444,414.186,137
14.169,534.813,419.534,138
13.4112,530.183,424.836,139
12.7002,525.554,430.091,140
12.0327,520.931,435.3,141
11.4059,516.316,440.464,142
10.817,511.711,445.581,143
10.2635,507.119,450.652,144
9.743,502.542,455.677,145
9.25337,497.982,460.657,146
8.79257,493.44,465.591,147
8.35871,488.918,470.481,148
7.95004,484.417,475.325,149
7.56493,479.94,480.124,150
7.20186,475.486,484.879,151
6.85942,471.057,489.59,152
6.5363,466.654,494.256,153
6.23128,462.279,498.879,154
5.94322,457.931,503.458,155
5.67106,453.611,507.994,156
5.41382,449.32,512.488,157
5.17056,445.06,516.938,158
4.94044,440.829,521.346,159
4.72265,436.629,525.713,160
4.51645,432.46,530.037,161
4.32113,428.322,534.321,162
4.13605,424.216,538.563,163
3.96059,420.142,542.764,164
3.79419,416.1,546.925,165
3.63631,412.09,551.046,166
3.48646,408.113,555.127,167
3.34418,404.168,559.169,168
3.20902,400.256,563.171,169
3.08057,396.377,567.135,170
2.95847,392.53,571.061,171
2.84234,388.717,574.948,172
2.73185,384.936,578.797,173
2.62669,381.188,582.609,174
2.52657,377.472,586.384,175
2.4312,373.789,590.122,176
2.34032,370.139,593.823,177
2.2537,366.521,597.488,178
2.17109,362.935,601.117,179
2.0923,359.382,604.711,180
2.0171,355.86,608.27,181
1.94532,352.371,611.794,182
1.87677,348.913,615.283,183
1.81129,345.487,618.738,184
1.74871,342.093,622.159,185
1.68889,338.73,625.546,186
1.63168,335.398,628.9,187
1.57696,332.097,632.221,188
1.52459,328.826,635.509,189
1.47445,325.587,638.765,190
1.42645,322.377,641.989,191
1.38046,319.198,645.181,192
1.3364,316.049,648.341,193
1.29416,312.929,651.47,194
1.25366,309.839,654.569,195
1.21482,306.778,657.637,196
1.17755,303.746,660.674,197
1.14179,300.744,663.681,198
1.10745,297.77,666.659,199
1.07447,294.824,669.607,200
1.04279,291.906,672.526,201
1.01235,289.017,675.417,202
0.983094,286.155,678.278,203
0.954962,283.321,681.111,204
0.927906,280.514,683.917,205
0.901877,277.734,686.694,206
0.876829,274.981,689.444,207
0.852718,272.255,692.166,208
0.829502,269.555,694.862,209
0.807142,266.881,697.531,210
0.785601,264.233,700.173,211
0.764843,261.611,702.789,212
0.744834,259.014,705.379,213
0.725542,256.443,707.944,214
0.706936,253.897,710.483,215
0.688987,251.375,712.996,216
0.671667,248.878,715.485,217
0.654951,246.406,717.949,218
0.638813,243.958,720.389,219
0.623228,241.533,722.804,220
0.608175,239.133,725.195,221
0.593632,236.755,727.563,222
0.579577,234.402,729.907,223
0.565992,232.071,732.228,224
0.552857,229.763,734.525,225
0.540154,227.478,736.8,226
0.527867,225.215,739.052,227
0.515979,222.974,741.282,228
0.504474,220.756,743.49,229
0.493337,218.559,745.675,230
0.482555,216.384,747.839,231
0.472113,214.231,749.981,232
0.461999,212.098,752.102,233
0.4522,209.987,754.202,234
0.442704,207.896,756.281,235
0.433501,205.826,758.339,236
0.424578,203.777,760.377,237
0.415926,201.747,762.395,238
0.407535,199.738,764.392,239
0.399395,197.749,766.369,240
0.391497,195.779,768.327,241
0.383832,193.829,770.266,242
0.376393,191.898,772.185,243
0.36917,189.986,774.084,244
0.362156,188.093,775.965,245
0.355344,186.219,777.828,246
0.348727,184.363,779.671,247
0.342298,182.526,781.496,248
0.33605,180.707,783.303,249
0.329977,178.905,785.093,250
0.324074,177.122,786.864,251
0.318334,175.357,788.617,252
0.312751,173.609,790.353,253
0.307322,171.878,792.072,254
0.30204,170.164,793.774,255
0.2969,168.468,795.459,256
0.291898,166.788,797.126,257
0.28703,165.125,798.778,258
0.28229,163.478,800.412,259
0.277675,161.848,802.031,260
0.273181,160.234,803.633,261
0.268804,158.636,805.22,262
0.26454,157.054,806.79,263
0.260385,155.487,808.345,264
0.256336,153.936,809.884,265
0.25239,152.401,811.408,266
0.248544,150.881,812.917,267
0.244794,149.376,814.411,268
0.241137,147.885,815.89,269
0.237571,146.41,817.354,270
0.234093,144.949,818.803,271
0.2307,143.503,820.238,272
0.227389,142.071,821.659,273
0.224159,140.654,823.066,274
0.221006,139.25,824.458,275
0.217928,137.861,825.837,276
0.214924,136.485,827.202,277
0.21199,135.123,828.553,278
0.209126,133.775,829.891,279
0.206328,132.44,831.215,280
0.203596,131.118,832.526,281
0.200926,129.81,833.824,282
0.198318,128.514,835.109,283
0.195769,127.232,836.382,284
0.193279,125.962,837.641,285
0.190844,124.705,838.888,286
0.188464,123.46,840.123,287
0.186137,122.228,841.345,288
0.183862,121.008,842.555,289
0.181637,119.8,843.753,290
0.179461,118.604,844.939,291
0.177333,117.42,846.114,292
0.175251,116.248,847.276,293
0.173213,115.087,848.427,294
0.17122,113.938,849.566,295
0.169269,112.801,850.694,296
0.16736,111.675,851.811,297
0.165491,110.56,852.917,298
0.163661,109.456,854.011,299
0.16187,108.363,855.095,300
0.160116,107.281,856.168,301
0.158398,106.21,857.23,302
0.156715,105.15,858.281,303
0.155068,104.1,859.322,304
0.153453,103.061,860.353,305
0.151872,102.032,861.373,306
0.150322,101.013,862.383,307
0.148804,100.004,863.383,308
0.147316,99.0056,864.373,309
0.145857,98.017,865.354,310
0.144428,97.0382,866.324,311
0.143026,96.0692,867.285,312
0.141652,95.1099,868.236,313
0.140305,94.1601,869.177,314
0.138984,93.2198,870.11,315
0.137688,92.2889,871.032,316
0.136417,91.3673,871.946,317
0.135171,90.4548,872.851,318
0.133948,89.5515,873.746,319
0.132749,88.6572,874.633,320
0.131572,87.7718,875.511,321
0.130417,86.8952,876.379,322
0.129284,86.0274,877.24,323
0.128172,85.1682,878.091,324
0.12708,84.3176,878.935,325
0.126008,83.4755,879.769,326
0.124957,82.6418,880.596,327
0.123924,81.8164,881.414,328
0.12291,80.9992,882.224,329
0.121914,80.1902,883.026,330
0.120937,79.3893,883.82,331
0.119977,78.5963,884.606,332
0.119034,77.8113,885.384,333
0.118107,77.0341,886.154,334
0.117198,76.2647,886.917,335
0.116304,75.5029,887.672,336
0.115426,74.7488,888.419,337
0.114563,74.0021,889.159,338
0.113715,73.263,889.892,339
0.112882,72.5311,890.617,340
0.112063,71.8067,891.335,341
0.111259,71.0894,892.046,342
0.110468,70.3793,892.75,343
0.10969,69.6763,893.447,344
0.108926,68.9803,894.137,345
0.108175,68.2912,894.819,346
0.107436,67.609,895.496,347
0.106709,66.9336,896.165,348
0.105995,66.265,896.828,349
0.105293,65.6031,897.484,350
0.104602,64.9477,898.133,351
0.103923,64.2989,898.776,352
0.103255,63.6566,899.413,353
0.102597,63.0207,900.043,354
0.101951,62.3911,900.667,355
0.101315,61.7678,901.284,356
0.100689,61.1508,901.896,357
0.100073,60.5399,902.501,358
0.0994672,59.9351,903.101,359
0.098871,59.3363,903.694,360
0.0982844,58.7436,904.281,361
0.097707,58.1567,904.863,362
0.0971388,57.5757,905.439,363
0.0965795,57.0005,906.009,364
0.096029,56.431,906.573,365
0.0954871,55.8673,907.132,366
0.0949536,55.3091,907.685,367
0.0944285,54.7565,908.232,368
0.0939114,54.2095,908.775,369
0.0934023,53.6679,909.311,370
0.092901,53.1317,909.843,371
0.0924074,52.6009,910.369,372
0.0919214,52.0754,910.889,373
0.0914427,51.5551,911.405,374
0.0909713,51.04,911.915,375
0.0905069,50.5301,912.421,376
0.0900496,50.0252,912.921,377
0.0895991,49.5254,913.416,378
0.0891554,49.0306,913.906,379
0.0887183,48.5407,914.392,380
0.0882876,48.0558,914.872,381
0.0878633,47.5756,915.348,382
0.0874453,47.1003,915.819,383
0.0870334,46.6297,916.285,384
0.0866276,46.1638,916.747,385
0.0862277,45.7026,917.204,386
0.0858336,45.2459,917.657,387
0.0854453,44.7939,918.104,388
0.0850625,44.3463,918.548,389
0.0846853,43.9032,918.987,390
0.0843135,43.4646,919.422,391
0.083947,43.0303,919.852,392
0.0835858,42.6003,920.278,393
0.0832297,42.1747,920.7,394
0.0828787,41.7533,921.117,395
0.0825327,41.3361,921.531,396
0.0821915,40.9231,921.94,397
0.0818552,40.5142,922.345,398
0.0815235,40.1094,922.746,399
0.0811965,39.7086,923.143,400
0.0808741,39.3118,923.536,401
0.0805562,38.919,923.925,402
0.0802427,38.5302,924.311,403
0.0799335,38.1452,924.692,404
0.0796286,37.764,925.07,405
0.0793279,37.3867,925.444,406
0.0790313,37.0131,925.814,407
0.0787388,36.6433,926.18,408
0.0784503,36.2771,926.543,409
0.0781657,35.9146,926.902,410
0.0778849,35.5558,927.258,411
0.077608,35.2005,927.61,412
0.0773348,34.8487,927.958,413
0.0770653,34.5005,928.303,414
0.0767994,34.1558,928.645,415
0.0765371,33.8145,928.983,416
0.0762783,33.4766,929.318,417
0.076023,33.1421,929.649,418
0.075771,32.8109,929.977,419
0.0755224,32.4831,930.302,420
0.0752771,32.1585,930.624,421
0.075035,31.8371,930.942,422
0.0747961,31.519,931.257,423
0.0745604,31.204,931.569,424
0.0743277,30.8922,931.878,425
0.0740981,30.5835,932.184,426
0.0738715,30.2779,932.487,427
0.0736478,29.9754,932.786,428
0.073427,29.6758,933.083,429
0.0732091,29.3793,933.377,430
0.0729941,29.0857,933.668,431
0.0727817,28.7951,933.956,432
0.0725722,28.5073,934.241,433
0.0723653,28.2225,934.523,434
0.0721611,27.9404,934.803,435
0.0719594,27.6612,935.079,436
0.0717604,27.3848,935.353,437
0.0715639,27.1112,935.624,438
0.0713699,26.8403,935.893,439
0.0711783,26.572,936.158,440
0.0709892,26.3065,936.421,441
0.0708024,26.0436,936.682,442
0.070618,25.7834,936.94,443
0.0704359,25.5257,937.195,444
0.0702561,25.2707,937.448,445
0.0700786,25.0181,937.698,446
0.0699033,24.7681,937.945,447
0.0697301,24.5206,938.191,448
0.0695592,24.2756,938.433,449
0.0693903,24.033,938.674,450
0.0692235,23.7928,938.912,451
0.0690588,23.5551,939.147,452
0.0688962,23.3197,939.38,453
0.0687355,23.0866,939.611,454
0.0685768,22.8559,939.84,455
0.0684201,22.6275,940.066,456
0.0682653,22.4014,940.29,457
0.0681123,22.1775,940.512,458
0.0679613,21.9559,940.731,459
0.0678121,21.7365,940.949,460
0.0676647,21.5193,941.164,461
0.0675191,21.3042,941.377,462
0.0673752,21.0913,941.588,463
0.0672331,20.8806,941.797,464
0.0670927,20.6719,942.003,465
0.066954,20.4653,942.208,466
0.066817,20.2608,942.411,467
0.0666816,20.0583,942.611,468
0.0665479,19.8579,942.81,469
0.0664157,19.6594,943.006,470
0.0662852,19.463,943.201,471
0.0661561,19.2685,943.394,472
0.0660287,19.0759,943.585,473
0.0659027,18.8853,943.773,474
0.0657783,18.6966,943.96,475
0.0656553,18.5097,944.145,476
0.0655337,18.3247,944.329,477
0.0654137,18.1416,944.51,478
0.065295,17.9603,944.69,479
0.0651777,17.7808,944.868,480
0.0650618,17.6031,945.044,481
0.0649473,17.4272,945.218,482
0.0648341,17.2531,945.39,483
0.0647223,17.0806,945.561,484
0.0646117,16.9099,945.73,485
0.0645024,16.7409,945.898,486
0.0643945,16.5736,946.063,487
0.0642877,16.408,946.228,488
0.0641823,16.244,946.39,489
0.064078,16.0817,946.551,490
0.0639749,15.921,946.71,491
0.0638731,15.7619,946.868,492
0.0637724,15.6044,947.024,493
0.0636729,15.4484,947.178,494
0.0635745,15.294,947.331,495
0.0634773,15.1412,947.482,496
0.0633812,14.9899,947.632,497
0.0632862,14.8401,947.781,498
0.0631923,14.6918,947.928,499
0.0630994,14.5449,948.073,500
0.0630077,14.3996,948.217,501
0.0629169,14.2557,948.36,502
0.0628272,14.1132,948.501,503
0.0627386,13.9722,948.641,504
0.0626509,13.8325,948.779,505
0.0625642,13.6943,948.916,506
0.0624786,13.5574,949.051,507
0.0623939,13.4219,949.186,508
0.0623101,13.2878,949.319,509
0.0622273,13.155,949.45,510
0.0621455,13.0235,949.58,511
0.0620645,12.8934,949.709,512
0.0619845,12.7645,949.837,513
